zona,subzona,distrito,provincia,canton,coordenada_y,coordenada_x,area_hecho,lugar,tipo_lugar,presunta_motivacion,presun_motiva_observada,edad,sexo,etnia,estado_civil,nacionalidad,discapacidad,dia_semana,es_fin_semana,hora,franja_horaria,y
ZONA 7,EL ORO,HUAQUILLAS,EL ORO,ARENILLAS,-3.54194,-80.08469,RURAL,TERRENO BALDIO,PUBLICO,DELINCUENCIA COMUN,AMENAZA,30,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,2,0,16,TARDE,ARMA_BLANCA
ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,GUAYAS,GUAYAQUIL,-2.10948,-79.96217,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,53,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,0,MADRUGADA,ARMA_CONTUNDENTE
ZONA 5,GUAYAS,SALITRE,GUAYAS,SALITRE,-1.8071999999999897,-79.7731,RURAL,FINCA,PRIVADO,DELINCUENCIA COMUN,ROBO A DOMICILIOS,73,HOMBRE,MONTUBIO/A,SOLTERO,ECUADOR,NINGUNA,2,0,15,TARDE,ARMA_FUEGO
ZONA 8,D.M. GUAYAQUIL,PROGRESO,GUAYAS,GUAYAQUIL,-2.70959,-80.25658,URBANO,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,28,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,2,MADRUGADA,ARMA_CONTUNDENTE
ZONA 4,MANABI,SUCRE,MANABI,SAN VICENTE,-0.47188,-80.45471,URBANO,MAR,PUBLICO,DELINCUENCIA COMUN,SECUESTRO EXPRESS,27,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,9,MANANA,OTRAS
ZONA 8,D.M. GUAYAQUIL,PASCUALES,GUAYAS,GUAYAQUIL,-2.06659570877938,-79.9241422063239,URBANO,CASA/VILLA,PRIVADO,DELINCUENCIA COMUN,AMENAZA,35,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,22,NOCHE,ARMA_CONTUNDENTE
ZONA 4,MANABI,CHONE,MANABI,CHONE,-0.674448,-80.011275,RURAL,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,ACTOS DE ODIO,39,MUJER,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,1,0,17,TARDE,ARMA_FUEGO
ZONA 5,LOS RIOS,BUENA FE,LOS RIOS,VALENCIA,-0.72884,-79.30309,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,38,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,4,0,8,MANANA,OTRAS
ZONA 7,LOJA,LOJA,LOJA,LOJA,-3.96354,-79.24929,RURAL,BOSQUE Y RESERVAS ECOLOGICAS,PUBLICO,DELINCUENCIA COMUN,SECUESTRO EXPRESS,21,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,2,0,1,MADRUGADA,ARMA_CONTUNDENTE
ZONA 6,AZUAY,CUENCA NORTE,AZUAY,CUENCA,-2.89204,-78.99798,URBANO,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,42,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,1,0,1,MADRUGADA,ARMA_CONTUNDENTE
